State,Dominant Party
Andaman & Nicobar Islands,Bharatiya Janata Party
Andhra Pradesh,Telugu Desam
Arunachal Pradesh,Bharatiya Janata Party
Assam,Bharatiya Janata Party
Bihar,Bharatiya Janata Party
Chandigarh,Indian National Congress
Chhattisgarh,Bharatiya Janata Party
Dadra & Nagar Haveli and Daman & Diu,Bharatiya Janata Party
Goa,Bharatiya Janata Party
Gujarat,Bharatiya Janata Party
Haryana,Bharatiya Janata Party
Himachal Pradesh,Bharatiya Janata Party
Jammu and Kashmir,Bharatiya Janata Party
Jharkhand,Bharatiya Janata Party
Karnataka,Bharatiya Janata Party
Kerala,Indian National Congress
Ladakh,Independent
Lakshadweep,Indian National Congress
Madhya Pradesh,Bharatiya Janata Party
Maharashtra,Indian National Congress
Manipur,Indian National Congress
Meghalaya,Indian National Congress
Mizoram,Zoram Peopleâ€™s Movement
NCT OF Delhi,Bharatiya Janata Party
Nagaland,Indian National Congress
Odisha,Bharatiya Janata Party
Puducherry,Indian National Congress
Punjab,Indian National Congress
Rajasthan,Bharatiya Janata Party
Sikkim,Sikkim Krantikari Morcha
Tamil Nadu,Dravida Munnetra Kazhagam
Telangana,Bharatiya Janata Party
Tripura,Bharatiya Janata Party
Uttar Pradesh,Samajwadi Party
Uttarakhand,Bharatiya Janata Party
West Bengal,All India Trinamool Congress
